image,label
ea7b6656-3f84-4eb3-9099-23e623fc1018.jpg,Tshirts
ea2ffd4d-9b25-4ca8-9dc2-bd27f1cc59fa.jpg,Tshirts
4c8f245e-a039-46fd-a6b9-1bb51e83fc05.jpg,Tshirts
95609fcf-b2c2-4f35-8454-a308262e30ea.jpg,Tshirts
534cb9e4-658e-48a9-a9d9-365149ee52e8.jpg,Tshirts
be698ba0-7a2c-4f38-84ea-6223dc15854d.jpg,Tshirts
f968404d-6c3a-465e-9edd-347784880455.jpg,Tshirts
c395de85-824c-4cbe-ad6b-ed80f5c15fb7.jpg,Tshirts
4acdd295-b0b4-4991-a6cd-c9d2c322c347.jpg,Tshirts
330f1f98-0d3d-4c64-bd82-518e6e157d08.jpg,Tshirts
fb145f9c-024a-4177-ae55-4ef413756ee9.jpg,Tshirts
29d44695-c6b6-4b76-8ac9-12032990ba5f.jpg,Tshirts
e912d309-20d4-44c1-887d-43c4e59c76be.jpg,Tshirts
53e1ebfe-5216-4c95-b166-bee422a056f6.jpg,Tshirts
8086c317-da42-48c2-bf29-d1d0063a78c7.jpg,Tshirts
46e76b5f-85cb-4dab-a45c-3c1ea74576f3.jpg,Tshirts
87f0405b-bdea-4e8a-a0bf-5199dd1a158c.jpg,Tshirts
9d433006-cfa0-41e8-8a5a-0d80d50a73e4.jpg,Tshirts
fbb54104-ee0f-4180-9216-2696f9df52a5.jpg,Tshirts
07349830-408d-42b7-baeb-35ad9a21c6bf.jpg,Tshirts
8b6ef17f-0669-40fa-935f-6a6e44fd348d.jpg,Tshirts
37ca3848-62c1-4e3c-a672-5627f2270c95.jpg,Tshirts
e976a8f6-6731-485f-8a9a-2872a5208818.jpg,Tshirts
5909f313-edfd-4d94-9cdb-3a05e02bb926.jpg,Tshirts
b8fef860-a816-4c39-8811-11e0909bac51.jpg,Tshirts
8b719bfa-919d-45c1-a83e-86ceec917c41.jpg,Tshirts
8d5b6ef2-bc6f-4364-a278-580a5d91c7d7.jpg,Tshirts
